ID,Are you filling this form out during your session? ,Scaled Questions [The Design Center provides a welcoming environment to learn new technologies.],Scaled Questions [I have experience working with electronics.],Scaled Questions [I perceive barriers to learning electronics.],Scaled Questions [I would experiment with electronics in the Design Center.],Scaled Questions [I feel intimidated by experimenting with electronics at my current knowledge level.],Scaled Questions [I feel ready to experiment with electronics at my current knowledge level.],"Scaled Questions [In the past, I have used zines to learn.]","Scaled Questions [In the past, I have used online resources to learn.]",Visual,Kinesthetic,Auditory,Read/ Write,Social,Solitary,How long did you spend reading the material? Type one number in minutes. Ex: 12,How busy was the Design Center during your session?,Scaled Questions [I feel confident to try this project in the Design Center.],"Scaled Questions [After this learning experience, I am interested in exploring other electronic projects in the Design Center.]",Scaled Questions [I felt supported in my learning through the format of the material.],Scaled Questions [The format of the material enhanced my learning and understanding.],Scaled Questions [I feel intimidated by experimenting with electronics at my current knowledge level.],Scaled Questions [I feel ready to experiment with electronics at my current knowledge level.],Scaled Questions [I felt engaged with the material while reviewing it.],Scaled Questions [The instructional material met my expectations in terms of providing useful information.],Scaled Questions [I have gained a deeper understanding of how electronic circuits work.],Scaled Questions [The busyness of the Design Center improved my learning. ],Scaled Questions [The busyness of the Design Center hindered my learning.],"[Pre]
Please describe any barriers you experience when learning or thinking about learning electronics. How does this make you feel? Please provide 5-7 sentences.","[Post]
Describe your perceptions of the learning material. What did you like about the format of the information? What did you dislike? How did these elements make you feel while you were learning? Please provide 5-7 sentences."
1,0,5,2,3,3,4,2,5,5,1,1,0,1,1,1,14,3,2,3,3,1,3,2,3,4,4,3,3,"Though I have experience coding, I really don't know where to start with electronics. I don't feel as if I know what I might use them for, or what tools are really available to me. To be honest, I'm not really sure what you mean by ""electronics"" --- it feels fairly vague. I think I'd be more excited about learning these skills if I had a particular project in mind, even if I didn't yet know how to carry it out. Even so, I'm excited to hear more about them, and get a better sense of them in this meeting! Maybe it'll be the push I need to get started. ","The Arduino and Joystick materials made the possibilities of learning electronics feel much wider, which I appreciated---it was nice to see someone else's project, and to hear all the ways that you could interface electronics with code. Separately, though, the first reading looked a lot like a wikipedia page, which made it inherently feel sort of dry, and made me feel inclined to skim (I resisted the urge). I wanted more visuals to aid in my learning. I found myself hoping for a video or a chance to do something with my hands (or even just some step by step pictures), in order to really grasp what it was the readings were discussing. There were moments when I gave up and said, ""when I do the hands on portion, I'll get it"". All in all, I found the material interesting, but wanted either a hands on portion or another, more visual learning style in order to feel like I really understood it. "
2,0,5,5,4,4,2,1,4,5,1,1,0,1,1,0,11,2,4,2,3,2,2,2,1,5,4,2,4,"I don't really see myself as a STEM person, and I think that mindset alone holds many people back from learning electronics. I like working with software and digital applications, but when it comes to actual technology (like laser cutting or welding) I do get pretty intimidated since it's not as easy as clicking random buttons and seeing what they do—at least, from my perspective as someone with no prior experiences. Another large barrier when it comes to learning electronics is access. I'm very lucky to have the Design Center at my disposal, and I don't use it as often as I should. Electronics cost money, and there's many different groups of people who lack the access to these resources.","The learning material is similar to the process I would embark on if I tried to experiment with electronics myself: I don't like using videos and prefer reading through website/written tutorials. I liked how in-depth the materials were---it was a lot of content, but I liked that since it feels like I can learn as much as possible. I disliked how the information was not accompanied by any interactive component (which I know is a part of the study). It was difficult to be met with all these words, not enough pictures or videos, and nothing to experiment on. I am familiar with breadboards and have experience coding in several languages, so I would feel relatively comfortable carrying out the tasks in the website so long as I was able to refer to it while experimenting. I will say though that the Arduino website was really confusing to me... After all that content, I'm not sure whether I understand what an Arduino is.

On the questions regarding the busyness of the Design Center: there's two tables filled up, including the ones used for the research study, as well as some people who came in, so it was relatively noisy. Noise levels weren't too bad, but significantly affected how I took in the information since I need silence when trying to read about new, unfamiliar topics. I marked not being interested in experimenting in the Design Center since I'm not really much of an electrical engineering person & am not personally interested. Cool project though!!! Lowkey would try to control a LED with a joystick, it feels like something I could do if I had the materials."
3,1,5,4,2,5,2,4,4,5,1,1,0,0,1,0,12,2,3,4,3,2,4,5,1,4,4,2,2,The biggest barrier that I experience when thinking about electronics is having a hard time with cable management and making sure I understand what ports are necessary for connections. Really the only point of perspective I have for this is what I had to build my own desktop computer a few years ago and had a hard time keeping those things straight. I think also just like general unfamiliarity with the importance of certain parts (and which ones can be easily damaged too),I think th format itself of the information was straightforward enough. Probably my least favorite of them was the designbuildlab website because it looked so much like wikipedia. I would prefer for the information to be a little more spread out i think and with a somewhat better UI. My favorite of them was the arduino one becaus of the better interface. I will admit I wasn't super engaged but I think that is probably an effect of the content more than the layout.
4,0,5,1,3,4,4,2,4,5,1,1,1,1,1,1,13,1,3,4,3,2,5,2,3,4,4,3,3,"I know very little about electronics and electronic design (namely circuitry). Based on the above, I would consider myself a visual and solitary learner, which can make learning new skills difficult if I am not given a visual diagram/drawing of how to do it or a video. Trying to read a textbook or listen to a podcast which may explain electronics would be difficult for me, and I believe serves as a barrier to learning. An additional barrier that I would foresee in learning electronics is my lack of previous hands-on experience and few opportunities for application of the skills I would learn. I suppose the investment of money, time, and energy would also limit my ability to learn, as currently I do not know if I have time to learn electrons and wouldn’t know where to start. There also may be a gendered aspect to this, as young women are often not taught practical skills such as electronics early on. It is also worth noting that much of this is conjecture as I have never attempted to learn electronics.","Reading the online material was more engaging than reading a textbook–especially given the more conversational/even entertaining way it was written–but I also felt myself at times zoning out and having to reread a section multiple times. It may be worth noting that I have some minor dyslexia and have always considered myself a visual learner, so reading larger blocks of text can be difficult for me. I do feel like I have a better understanding of circuits, but would still be intimidating to make my own; I also did not really understand the schematic diagram despite finishing the reading. I probably would need someone to explain the connections or have clearer labels regarding what each connection was. I did appreciate how the information was presented in sections and the tone that the text was written in, but I did at times feel a bit overwhelmed or even bored as I was reading it. Arudino also seems a bit confusing, and (probably since I am not a CS major) I didn't really understand the coding portion. "
5,0,5,2,4,5,4,2,5,5,1,0,0,1,1,1,16,1,4,5,4,5,3,4,4,4,5,3,3,"The main barrier to learning about electronics is simply access to the physical materials necessary for experimentation. Before college, those materials were not readily available, and (given that I had no experience or knowledge about electronics) I had no reason to actively seek them out just for experimentation’s sake. I know the design center has materials to use, but I hesitate to experiment because I don’t know where to begin/the possibilities. I usually try out new materials when there’s a workshop so that it’s a fun learning environment with an expert where the assumption is that people are mostly beginners. I’d love to learn more about electronics - I’ve only ever used them to make a mini car in a middle school science class which was fun. I also would love to learn how to mess with the electronics behind lighting fixtures/lamps. I had a class where we made lamps, but I didn’t particularly experiment with the actual electronics part (more so just the wooden form/lamp “shade”).","Reading this material is helpful because you can go at your own pace and go back to reference past information. The diagrams/schematics are extremely helpful. It would be much more helpful to have more images with labels and diagrams. I also think a video would be very helpful. And, of course, for electronics it seems it would be most helpful to actually try it out in real life (making a closed loop, lighting up an LED, experimenting with Arduino). It was hardest to understand the Arduino part / what it can be used to make specifically. I think it's hard to envision what those projects mean when you haven't seen them before. The metaphor with the radiator system was helpful, but it made me want to know more about how voltage/current/resistance comes up when you're experimenting with a circuit."
6,0,4,4,3,3,4,2,3,5,1,0,1,0,1,0,10,2,4,4,4,3,3,4,4,4,4,3,1,"I last engaged with learning electronics in early high school for a science olympiad competition/event. I was learning about wires and circuits on my own since my HS did not teach it in our science classes. We also did not have any CS or electronic courses. Most of my learning was done on my own or with 1-2 other people in the group. I initially felt overwhelmed since I was jumping into the deep end without any foundation but I quickly found enjoyment in learning about logic and wiring processes. 

I later on began to teach lego mindstorm to young students which was coding and electronics. This gave me a lot of confidence since I knew how to code by this point and was learning with my students about the electronics part. Hope this helps LOL","I disliked how wordy the first article was or at least how it was formatted. It was nice to see and have some concepts from high school listed out like Ohm's Law. Since I was familiar with Arduino before, I was able to skim the second article. The third article was interesting to read but would be more beneficial if I was following along to make the actual project. Ultimately, I perceived the learning material to be effective and useful since the concepts added up to the project. The project was a good one because of it's simple and easy instructions and cool applications!"
7,1,5,5,3,5,3,4,4,5,1,1,0,1,1,1,10,2,2,4,2,3,4,2,1,4,2,3,3,"When learning anything new, including electronics, I want to know how to use it as fast as possible and just begin fiddling with it. This is usually okay with other crafts, but electronics are a little more sensitive and button mashing might result in broken machinery, so there's a learning curve there where I have to be more patient and read through instructions more thoroughly BEFORE beginning any work. But, this makes figuring out the tool so much more rewarding. I'm also pretty comfortable with most electronics, so learning new softwares can be frustrating when it's not easy. With many crafts, you can kinda just fanagle it together until it works too but that's not the case for some electronics lik the cricuit. Figuring it out is always fun though because once you've done the hard part, it makes creating so much more efficient.","I thought the blocks of text made the learning very boring a difficult. I was excited by the topic and tried my best to engage but there was nothing to supplement the new concept so it was hard to follow along. If there were more images or videos, it would be easier to understand what's going on and be engaged with it. Usually, I learn through videos or instructables that have simple, step by step instructions and images. These blocks of text were dense and difficult to me which made me bored and upset with being unable to understand the topic. I don't think a quieter environment would have helped at all. Following along the instructions with a physical project of my own would also make it easier and more fun to understand the material."
8,0,4,5,4,4,5,2,4,5,0,0,0,1,0,1,10,1,2,2,2,2,5,2,4,4,2,5,3,"i feel very comfortable around electronics. while i identify as a solitary learner i still like when people explain things to me in person. for example, right now i am in an Arc GIS class and i always find myself going back to the class recordings to make sure i got it. overall, though, i am good at transferring skills from one electronic to the next (eg. i can use my phone so i can use my ipad, etc).  i am also comfortable teaching electronics use to others like my parents. ","i wished that everything had more pictures. usually, i am okay with just words/sentences but i am not a stem major and have never learned anything like this before. i really liked the first reading's metaphor of a house with pipes, i felt like i understood what was going on there. i began to lose understanding in the ""completing the circuit"" section. it was hard to understand this section without knowing what a rail, soldering, power rails, battery leads, etc. are. i liked the arduino article because it was conceptual but i dont know that i could describe the actual product. is it a website or something you attach to your computer? for the LED website, it went completely over my head. it was very simply worded which i liked but i just felt like i didnt have enough context. "
9,0,5,1,3,4,4,2,4,5,0,1,0,1,0,1,14,2,3,3,2,2,2,4,2,3,4,1,5,"For me I feel like the biggest barrier is that I don’t really understand what electronics entails and I feel like people who do know haven’t been the most clear on what it is so I have never really looked for an opportunity to learn. I also feel like anything that sounds more technical I’m hesitant to learn because I associate learning with a high cost, and I would be worried about breaking something that is expensive. I have no idea how expensive the tools are or even if you need anything fancy, but the fear of breaking something expensive has been enough of a barrier to keep me from learning. In general though I would say the biggest barrier is that I don’t know what it is or why I should experiment with it or learn about it, so I haven’t done as much to explore electronics. I am very open to learning though, I just haven’t found the best environment though to do that yet.","I did like the structure of the content, with headings and subheadings that were easy to follow along. However, I found the pure reading component to not be as helpful. There were some images along the way, but they felt disconnected from the main information / text, so it was hard for me to easily connect the words to the schematics / etc. I also found that it was super difficult to stay engaged in the reading with the business of the Design Center. The readings were not engaging enough, and I found that I would very easily be distracted by other things going on, or I would realize that I ""read"" an entire paragraph without actually comprehending or internalizing any of it. I think given this format, I would not want to continue to learn electronics unfortunately. "
10,1,4,3,4,3,5,1,4,4,1,1,0,0,1,0,11,2,2,3,3,2,4,3,1,3,4,3,3,"I think I'm mostly just personally intimidated by the idea of using electronics. They seem very complicated and overwhelming—with lots of settings, uses, and other elements. Some machinery also seem to move very fast and react abruptly, I'm scared I'll do something wrong and hurt myself or others (or look silly).","I liked how divided the learning material was (i.e., into concise sections). In particular, I liked the hacker.io materials because the content was effectively divided, short, simple, and included stimulating images. I also liked the use of bullet points to convey information in the Arduino and Wikipedia pages. The Wikipedia page initially felt a little boring though. The information was definitely less dense than typical Wikipedia pages, but seeing all the text on the page made me dread going through everything. Additionally, a loud conversation began to take place in the Design Center which made it challenging to focus. However, I don't think this would have been as distracting if I was engaging with other kinds of materials—oftentimes, when I am reading (especially if it is material I am unfamiliar with) I need to focus more. "
